시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,한벌초교,충청북도 청주시 서원구 흥덕로 16 (사직동),충청북도 청주시 서원구 사직동 560,36.63706584,127.4747899,청주시,청원,Y,5,4~8,2020-07-17
유치원,한벌초교 병설유치원,충청북도 청주시 서원구 흥덕로 16 (사직동),충청북도 청주시 서원구 사직동 560,36.63706584,127.4747899,청주시,청원,Y,,4~8,2020-07-17
초등학교,봉명초교,충청북도 청주시 흥덕구 봉명로141번길 3 (봉명동),충청북도 청주시 흥덕구 봉명동 205,36.63993826,127.4564424,청주시,흥덕,Y,9,4~8,2020-07-17
유치원,봉명초교 병설유치원,충청북도 청주시 흥덕구 봉명로141번길 3 (봉명동),충청북도 청주시 흥덕구 봉명동 205,36.63993826,127.4564424,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,교동초교,충청북도 청주시 상당구 용암로 6 (용암동),충청북도 청주시 상당구 용암동 2084,36.61059067,127.5105256,청주시,상당,Y,5,4~8,2020-07-17
유치원,교동초교 병설유치원,충청북도 청주시 상당구 용암로 6 (용암동),충청북도 청주시 상당구 용암동 2084,36.61059067,127.5105256,청주시,상당,Y,,4~8,2020-07-17
초등학교,북이초등학교,충청북도 청주시 청원구 북이면 의암로 342,충청북도 청주시 청원구 북이면 내추리 10,36.76125591,127.5560066,청주시,청원,Y,7,4~8,2020-07-17
유치원,북이초교 병설유치원,충청북도 청주시 청원구 북이면 의암로 342,충청북도 청주시 청원구 북이면 내추리 10,36.76125591,127.5560066,청주시,청원,Y,,4~8,2020-07-17
초등학교,북일초교,충청북도 청주시 청원구 주중로 13-19 (주중동),충청북도 청주시 청원구 주중동428,36.68964874,127.485398,청주시,청원,Y,4,4~8,2020-07-17
유치원,북일초교 병설유치원,충청북도 청주시 청원구 주중로 13-19 (주중동),충청북도 청주시 청원구 주중동428,36.68964874,127.485398,청주시,청원,Y,,4~8,2020-07-17
초등학교,석교초교,충청북도 청주시 상당구 대성로 14 (석교동),충청북도 청주시 상당구 석교동10,36.6267607,127.4942469,청주시,상당,Y,7,4~8,2020-07-17
유치원,석교초교 병설유치원,충청북도 청주시 상당구 대성로 14 (석교동),충청북도 청주시 상당구 석교동10,36.6267607,127.4942469,청주시,상당,Y,,4~8,2020-07-17
초등학교,우암초교,충청북도 청주시 청원구 상당로 204 (우암동),충청북도 청주시 청원구 우암동137,36.64746628,127.4904517,청주시,청원,Y,4,4~8,2020-07-17
유치원,우암초교 병설유치원,충청북도 청주시 청원구 상당로 204 (우암동),충청북도 청주시 청원구 우암동137,36.64746628,127.4904517,청주시,청원,Y,,4~8,2020-07-17
초등학교,주성초교,충청북도 청주시 상당구 교서로 45 (영동),충청북도 청주시 상당구 영동 48,36.64142478,127.4852563,청주시,상당,Y,4,4~8,2020-07-17
유치원,주성초교 병설유치원,충청북도 청주시 상당구 교서로 45 (영동),충청북도 청주시 상당구 영동 48,36.64142478,127.4852563,청주시,상당,N,,4~8,2020-07-17
특수학교,청주맹학교,충청북도 청주시 상당구 영운로 122-1 (탑동),충청북도 청주시 상당구 탑동185-2,36.62648634,127.4960831,청주시,상당,Y,1,4~8,2020-07-17
초등학교,오송초등학교,충청북도 청주시 흥덕구 오송읍 오송2길 26,충청북도 청주시 흥덕구 오송읍 오송리 60-1,36.61313894,127.3256312,청주시,흥덕,Y,4,4~8,2020-07-17
